sample_id,macrocategory,category,type,subtype,fermented/non-fermented,country,cluster_div,unknown_per
P2578,food,dairy,cheese,cheese_1_after_ripening;rind,F,ESP,4401,0.910702113
575_CabotClothbound,food,dairy,cheese,cabot_clothbound,F,USA,3567,0.917858144
CSB907,food,dairy,cheese,cheese_rind,F,FRA,1540,0.793506494
CSB888,food,dairy,cheese,cheese_rind,F,ITA,2262,0.805039788
ERS3466792,food,dairy,cheese,cheddar,F,IRL,1500,0.828666667
VB-15-M12,food,dairy,cheese,ripened_cheese_d2_rind,F,AUT,6371,0.933134516
DS_80,food,fermented_meat,salami,cacciatore_italiano,F,ITA,1296,0.80787037
TA012_71775,food,dairy,cheese,taleggio,F,ITA,2816,0.903053977
ERS3466750,food,dairy,cheese,cheddar,F,IRL,2742,0.838074398
VB13-29,food,dairy,cheese,ripened_cheese_a_rind,F,AUT,10427,0.943703846
VB-14-BG,food,dairy,cheese,ripened_cheese_c2_rind,F,AUT,4122,0.900776322
VB-08-M4,food,dairy,cheese,ripened_cheese_d1_rind,F,AUT,9166,0.938577351
CSB600,food,dairy,cheese,cheese_rind,F,USA,3383,0.900975466
917_Abondance,food,dairy,cheese,abondance,F,FRA,3293,0.925599757
VB13-30,food,dairy,cheese,ripened_cheese_b_rind,F,AUT,8610,0.949012776
CSB694,food,dairy,cheese,cheese_rind,F,FRA,3122,0.845932095
491_Bayley,food,dairy,cheese,bayley_hazen_blue,F,USA,1909,0.874803562
CSB734,food,dairy,cheese,cheese_rind,F,USA,4492,0.886687444
VB10-30,food,dairy,cheese,ripened_cheese_b_rind,F,AUT,8828,0.95061169
679_Raclette,food,dairy,cheese,raclette,F,FRA,4969,0.83376937
P2237_73323,food,dairy,cheese,cheese_1_after_ripening;rind,F,ESP,6541,0.963614126
VB01-30,food,dairy,cheese,ripened_cheese_b_rind,F,AUT,8645,0.928282244
CSB341,food,dairy,cheese,cheese_rind,F,ESP,1138,0.737258348
VB-06-AD,food,dairy,cheese,ripened_cheese_d2_rind,F,AUT,9193,0.931795932
894_Twig_Tomme,food,dairy,cheese,twig_goat_tomme,F,USA,2730,0.858974359
VB-03-AG,food,dairy,cheese,ripened_cheese_c1_rind,F,AUT,8188,0.944797264
TGS15-30,food,dairy,cheese,cheese_2_after_ripening;rind,F,IRL,4634,0.825852395
365_Stichelton,food,dairy,cheese,stichelton,F,GBR,2833,0.899046947
VB01-29,food,dairy,cheese,ripened_cheese_a_rind,F,AUT,5531,0.97703851
CSB387,food,dairy,cheese,cheese_rind,F,GBR,1993,0.81635725
DS_90,food,fermented_meat,salami,soppressata_calabrese,F,ITA,2219,0.804867057
RC17-F-AR,food,dairy,cheese,ripened_cheese_a_rind,F,AUT,9045,0.878496407
VB16-29,food,dairy,cheese,ripened_cheese_a_rind,F,AUT,5839,0.983558829
VB-15-AG,food,dairy,cheese,ripened_cheese_c3_rind,F,AUT,10084,0.938119794
VB07-30,food,dairy,cheese,ripened_cheese_b_rind,F,AUT,10748,0.928265724
P2247_73323,food,dairy,cheese,cheese_1_after_ripening;rind,F,ESP,4608,0.889322917
KM-4D,food,dairy,cheese,ripened_cheese_d3_rind,F,AUT,6031,0.977284032
KM-4G,food,dairy,cheese,ripened_cheese_c3_rind,F,AUT,5893,0.970812829
DF_114,food,dairy,cheese,brie,F,ITA,3890,0.797172237
771_Tarentaise,food,dairy,cheese,tarentaise,F,USA,3605,0.957558946
VB03-29,food,dairy,cheese,ripened_cheese_a_rind,F,AUT,8141,0.938336814
VB-15-BD,food,dairy,cheese,ripened_cheese_d3_rind,F,AUT,9435,0.948171701
TGS04-23,food,dairy,cheese,cheese_1_before_ripening;core,F,IRL,4516,0.849867139
VB05-29,food,dairy,cheese,ripened_cheese_a_rind,F,AUT,9953,0.95247664
VB02-29,food,dairy,cheese,ripened_cheese_a_rind,F,AUT,9077,0.937534428
TA011_71775,food,dairy,cheese,taleggio,F,ITA,7868,0.903660397
VB04-30,food,dairy,cheese,ripened_cheese_b_rind,F,AUT,11218,0.960064183
VB-12D,food,dairy,cheese,ripened_cheese_d1_rind,F,AUT,10996,0.961804292
VB11-30,food,dairy,cheese,ripened_cheese_b_rind,F,AUT,6472,0.909456119
VB11-29,food,dairy,cheese,ripened_cheese_a_rind,F,AUT,6289,0.91795198
VB-03-M5,food,dairy,cheese,ripened_cheese_c1_rind,F,AUT,10233,0.926414541
CSB962,food,dairy,cheese,cheese_rind,F,USA,3675,0.888163265
VB-09-AG,food,dairy,cheese,ripened_cheese_c2_rind,F,AUT,9460,0.945983087
CSB875,food,dairy,cheese,cheese_rind,F,FRA,1117,0.994628469
VB09-30,food,dairy,cheese,ripened_cheese_b_rind,F,AUT,11435,0.93729777
DF_11,food,dairy,cheese,pecorino,F,ITA,5197,0.883394266
VB-16-M14,food,dairy,cheese,ripened_cheese_d1_rind,F,AUT,4423,0.942799005
ERS3466777,food,dairy,cheese,tomme,F,IRL,1914,0.950365726
VB07-29,food,dairy,cheese,ripened_cheese_a_rind,F,AUT,6781,0.965491815
VB-09-BD,food,dairy,cheese,ripened_cheese_d2_rind,F,AUT,6033,0.911818333
VB-16-M16,food,dairy,cheese,ripened_cheese_d2_rind,F,AUT,10292,0.920326467
VB-16-M13,food,dairy,cheese,ripened_cheese_c1_rind,F,AUT,4858,0.930629889
KM-5D,food,dairy,cheese,ripened_cheese_d4_rind,F,AUT,6205,0.928444803
DS_48,food,fermented_meat,salami,cacciatore_italiano,F,ITA,1124,0.733096085
NM18-2,food,dairy,koumiss,,F,CHN,1291,0.926413633
F10,food,dairy,kefir,milk_kefir,F,GBR,1418,0.78067701
RC17-F-AC,food,dairy,cheese,ripened_cheese_a_core,F,AUT,391,0.601023018
Q05-26,food,dairy,cheese,cheese_2_before_ripening;rind,F,ESP,1334,0.726386807
VB-06-M1,food,dairy,cheese,ripened_cheese_c1_rind,F,AUT,5156,0.948021722
RC17-F-BR,food,dairy,cheese,ripened_cheese_b_rind,F,AUT,11235,0.898264352
VB12-F-AR,food,dairy,cheese,ripened_cheese_a_rind,F,AUT,8852,0.956845911
VB08-29,food,dairy,cheese,ripened_cheese_a_rind,F,AUT,9952,0.931270096
VB09-29,food,dairy,cheese,ripened_cheese_a_rind,F,AUT,10220,0.940215264
TGS04-30,food,dairy,cheese,cheese_2_after_ripening;rind,F,IRL,6625,0.934943396
671_Grayson,food,dairy,cheese,grayson,F,USA,3563,0.907942745
VB05-25,food,dairy,cheese,fresh_cheese_a_rind,F,AUT,4314,0.948076032
340_Comte,food,dairy,cheese,comte,F,FRA,3213,0.954559602
VB-04-BG,food,dairy,cheese,ripened_cheese_c1_rind,F,AUT,6607,0.939609505
AF06,food,fermented_grains_legumes_and_seeds,iru,locust_bean,F,NGA,1278,0.403755869
AF59,food,fermented_grains_legumes_and_seeds,ugba,pentaclehtra_macrophylla_oil_bean,F,NGA,1519,0.736668861
AF11,food,fermented_grains_legumes_and_seeds,ugba,pentaclehtra_macrophylla_oil_bean,F,NGA,3992,0.859218437
T-28,food,dairy,cheese,cheese_core_2_t45,F,ITA,1286,0.782270607
AF71,food,fermented_tubers_and_roots,fufu,cassava,F,NGA,673,0.720653789
AF14,food,dairy,wara,milk,F,NGA,4096,0.825439453
DF_62,food,dairy,cheese,pecorino_sardo,F,ITA,1076,0.75
PR003_71775,food,dairy,cheese,pecorino_romano,F,ITA,1001,0.757242757
ERS654082,food,dairy,cheese,continental-type_cheese,F,IRL,1116,0.853942652
M-23,food,dairy,cheese,cheese_core_1_t0,F,ITA,283,0.667844523
