sample_id,category,cluster_div,unknown_per,mag_div
ERS3967739,fermented_beverages,2283,1.070959264,5
ERS1939586,fermented_beverages,642,0.909657321,1
WK002-1-L-08h-01F5_S29,fermented_beverages,1759,0.837407618,3
WK062-1-L-48h-04I4_S47,fermented_beverages,2418,0.892886683,5
WK022-2-L-08h-02F9_S114,fermented_beverages,3672,1.025054466,8
WK008-2-L-48h-01I5_S56,fermented_beverages,751,1.340878828,3
WK009-1-L-48h-01I7_S58,fermented_beverages,4886,1.01760131,10
WK022-1-L-48h-02F8_S113,fermented_beverages,4260,1.059389671,8
WK015-2-L-48h-02C6_S84,fermented_beverages,3647,1.039484508,8
WK024-2-L-48h-02G9_S123,fermented_beverages,3323,0.920854649,6
WK040-1-L-08h-03F1_S65,fermented_beverages,2518,1.025416998,4
WK014-2-L-48h-02C2_S80,fermented_beverages,2762,0.86929761,6
WK065-2-L-48h-05B4_S65,fermented_beverages,1986,0.893756294,3
WK004-2-L-48h-01G7_S40,fermented_beverages,3343,0.953036195,6
WK018T-1-L-04h-05E4_S92,fermented_beverages,1470,0.756462585,3
ERS3967727,fermented_beverages,3477,0.888409548,6
ERS3967728,fermented_beverages,3587,0.891274045,6
WK065-1-L-48h-05B2_S63,fermented_beverages,1946,0.892600206,3
WK029-1-L-48h-03A3_S22,fermented_beverages,2569,0.949785909,5
WK022-2-L-48h-02G1_S115,fermented_beverages,4800,1.077083333,9
WK049-2-G-48h-05H8_S123,fermented_beverages,741,0.738191633,1
ERS3967697,alcohol,1312,1.021341463,3
WK020-1-L-48h-02E6_S102,fermented_beverages,3187,0.842171321,6
WK002-1-L-48h-01F6_S30,fermented_beverages,2274,0.874230431,4
WK059-1-L-48h-04H1_S35,fermented_beverages,2745,0.868852459,5
WK008-2-G-48h-01D2_S8,fermented_beverages,699,0.778254649,2
WK035-1-L-48h-03C9_S46,fermented_beverages,3417,0.666666667,3
WK004-1-L-48h-01G5_S38,fermented_beverages,3874,1.005678885,7
WK009-2-L-48h-01I9_S60,fermented_beverages,4778,1.021557137,10
WK049-2-L-48h-05A9_S61,fermented_beverages,1236,0.826860841,2
WK067-1-L-48h-05C1_S71,fermented_beverages,1684,0.899049881,3
WK001-1-L-48h-01F2_S26,fermented_beverages,3249,0.954447522,7
WK018T-2-L-04h-05E5_S93,fermented_beverages,1453,0.761871989,3
WK059-2-L-48h-04H3_S37,fermented_beverages,2975,0.910252101,6
ERS3967724,alcohol,2412,0.870646766,4
WK002-2-L-08h-01F7_S31,fermented_beverages,2315,0.810799136,4
WK003-1-L-48h-01G1_S34,fermented_beverages,3241,0.949706881,6
WK018-1-L-48h-02D7_S94,fermented_beverages,4362,0.944750115,9
WK064-1-L-48h-05A3_S55,fermented_beverages,2928,1.164959016,7
WK023-2-L-48h-02G5_S119,fermented_beverages,1649,0.904184354,3
WK037-1-L-48h-03D8_S54,fermented_beverages,2175,0.943448276,4
ERS3967717,fermented_beverages,721,0.717059639,3
WK039-1-L-48h-03E7_S62,fermented_beverages,2208,1.271286232,5
WK064-2-L-48h-05A5_S57,fermented_beverages,3953,1.139134834,10
ERS3967716,fermented_beverages,1080,0.769444444,6
P2180_73322,dairy,284,0.626760563,1
24h-2_S3,dairy,579,0.580310881,1
1m-4_S12,dairy,609,0.571428571,1
3m-4_S8,dairy,597,0.577889447,1
ERS3466722,dairy,1098,0.749544627,2
VB-09-M8,dairy,11166,1.04191295,26
1m-1_S9,dairy,524,0.583969466,1
P2556,dairy,4177,0.8702418,7
C07-18,fermented_meat,1769,0.710005653,4
P2157_73322,dairy,1216,0.940789474,3
P2478,dairy,1869,0.819689674,4
P2156_73322,dairy,1260,0.982539683,3
DF_100,dairy,3378,0.826228538,10
DF_119,dairy,391,0.907928389,1
P2242_73323,dairy,564,0.937943262,2
P2480,dairy,1179,0.982188295,3
TGS01-26,dairy,498,0.899598394,1
P2160_73322,dairy,1026,0.946393762,3
TGS06-26,dairy,985,0.887309645,2
DF_99,dairy,909,0.838283828,2
P2153_73322,dairy,976,0.942622951,3
P2154_73322,dairy,1117,0.927484333,3
DF_36,dairy,1279,0.740422205,2
DF_44,dairy,597,0.807370184,2
P2479,dairy,1878,0.838658147,4
TGS06-23,dairy,521,0.90403071,1
TGS08-25,dairy,811,0.891491985,2
V-21,dairy,1944,0.710390947,8
ERS2032127,dairy,745,1.463087248,2
VB-16-BD,dairy,16393,1.072103947,34
ERS3466771,dairy,1152,1.347222222,3
VB-14-AD,dairy,4618,0.914032049,8
VB03-30,dairy,7948,1.054101661,14
VB16-30,dairy,7214,1.127668423,20
VB15-29,dairy,12211,1.600442224,37
VB-06-BG,dairy,9336,1.108397601,20
VB-15-M9,dairy,10577,1.102675617,22
VB04-29,dairy,9192,0.999238468,14
VB15-30,dairy,9599,1.070632358,17
VB-14D,dairy,10178,1.069758302,24
VB-15-M11,dairy,8014,1.069752932,16
VB-14-M18,dairy,8188,1.065461651,22
VB-05-BD,dairy,13521,1.083425782,31
VB14-F-BR,dairy,8885,1.135846933,22
VB-06-M2,dairy,5144,0.969673406,11
VB-16-AG,dairy,14618,1.034135997,28
VB14-F-AR,dairy,9114,1.044766294,21
VB-05-AD,dairy,10961,1.089772831,23
KM-5G,dairy,8607,0.934355757,16
ERS2032125,dairy,822,1.384428224,3
VB-15-M10,dairy,12281,1.007328393,24
ERS2032126,dairy,750,1.44,2
VB-04-AD,dairy,4944,0.971682848,11
VB06-29,dairy,9623,1.062038865,20
ERS2032129,dairy,2441,0.931995084,3
711_Garroxta,dairy,664,0.989457831,1
ERS2032130,dairy,1984,0.932459677,3
CSB870,dairy,1432,0.787011173,2
VB08-30,dairy,12483,0.985740607,23
VB06-30,dairy,8930,1.029115342,19
CSB409,dairy,1522,0.889618922,3
P2558,dairy,9306,0.973995272,15
VB-08-M3,dairy,7540,1.071750663,16
P2578,dairy,4401,1.064530788,7
575_CabotClothbound,dairy,3567,0.92066162,6
CSB907,dairy,1540,0.794805195,3
CSB888,dairy,2262,0.805481874,3
ERS3466792,dairy,1500,0.828666667,3
VB-15-M12,dairy,6371,0.963741956,10
DS_80,fermented_meat,1296,0.80787037,2
TA012_71775,dairy,2816,0.915838068,9
ERS3466750,dairy,2742,0.83916849,4
VB13-29,dairy,10427,1.026949266,26
VB-14-BG,dairy,4122,0.903202329,8
VB-08-M4,dairy,9166,1.057713288,19
CSB600,dairy,3383,0.902453444,5
917_Abondance,dairy,3293,0.929243851,7
VB13-30,dairy,8610,1.018002323,22
CSB694,dairy,3122,0.850096092,6
491_Bayley,dairy,1909,0.877422734,4
CSB734,dairy,4492,0.887577916,5
VB10-30,dairy,8828,0.995922066,15
679_Raclette,dairy,4969,1.065003019,9
P2237_73323,dairy,6541,1.054425929,13
VB01-30,dairy,8645,0.955696935,16
CSB341,dairy,1138,0.737258348,2
VB-06-AD,dairy,9193,1.014902643,19
894_Twig_Tomme,dairy,2730,0.86043956,4
VB-03-AG,dairy,8188,0.961651197,15
TGS15-30,dairy,4634,0.839879154,18
365_Stichelton,dairy,2833,0.899399929,4
VB01-29,dairy,5531,1.01048635,11
CSB387,dairy,1993,0.81635725,3
DS_90,fermented_meat,2219,0.908968004,4
RC17-F-AR,dairy,9045,0.970591487,26
VB16-29,dairy,5839,1.061311868,13
VB-15-AG,dairy,10084,0.970745736,18
VB07-30,dairy,10748,1.006140677,22
P2247_73323,dairy,4608,0.894748264,9
KM-4D,dairy,6031,0.985408722,12
KM-4G,dairy,5893,0.986424572,12
DF_114,dairy,3890,0.836760925,7
771_Tarentaise,dairy,3605,0.973370319,6
VB03-29,dairy,8141,0.968062892,14
VB-15-BD,dairy,9435,1.036354001,20
TGS04-23,dairy,4516,0.876217892,9
VB05-29,dairy,9953,1.040892193,20
VB02-29,dairy,9077,1.028864162,19
TA011_71775,dairy,7868,0.918530757,14
VB04-30,dairy,11218,1.079515065,21
VB-12D,dairy,10996,0.986267734,20
VB11-30,dairy,6472,0.949629172,11
VB11-29,dairy,6289,0.959930037,11
VB-03-M5,dairy,10233,1.012703997,20
CSB962,dairy,3675,0.953197279,6
VB-09-AG,dairy,9460,1.044820296,22
CSB875,dairy,1117,0.997314235,2
VB09-30,dairy,11435,0.999212943,27
DF_11,dairy,5197,0.942659226,13
VB-16-M14,dairy,4423,0.944607732,7
ERS3466777,dairy,1914,0.955067921,4
VB07-29,dairy,6781,0.97802684,12
VB-09-BD,dairy,6033,1.008453506,13
VB-16-M16,dairy,10292,0.979887291,22
VB-16-M13,dairy,4858,0.966241252,11
KM-5D,dairy,6205,0.944238517,13
DS_48,fermented_meat,1124,0.733096085,2
NM18-2,dairy,1291,0.926413633,2
F10,dairy,1418,0.789139633,3
RC17-F-AC,dairy,391,0.601023018,1
Q05-26,dairy,1334,0.727136432,4
VB-06-M1,dairy,5156,0.976726144,11
RC17-F-BR,dairy,11235,0.948197597,28
VB12-F-AR,dairy,8852,1.070153638,18
VB08-29,dairy,9952,1.016278135,21
VB09-29,dairy,10220,0.979549902,21
TGS04-30,dairy,6625,0.975698113,12
671_Grayson,dairy,3563,0.915239966,9
VB05-25,dairy,4314,1.065368567,9
340_Comte,dairy,3213,0.961406785,6
VB-04-BG,dairy,6607,0.967307401,12
AF06,fermented_grains_legumes_and_seeds,1278,0.404538341,5
AF59,fermented_grains_legumes_and_seeds,1519,0.780776827,10
AF11,fermented_grains_legumes_and_seeds,3992,0.881262525,6
T-28,dairy,1286,0.899688958,4
AF71,fermented_tubers_and_roots,673,0.722139673,2
AF14,dairy,4096,0.842041016,7
DF_62,dairy,1076,0.751858736,2
PR003_71775,dairy,1001,0.759240759,3
ERS654082,dairy,1116,0.857526882,3
M-23,dairy,283,0.667844523,1
AF16,fermented_tubers_and_roots,818,0.71393643,3
VB05-27,dairy,1265,0.841106719,3
VB10-23,dairy,753,0.784860558,2
PA002_73417,dairy,2486,1.018101368,7
PR012_71775,dairy,651,0.783410138,2
AF87,fermented_grains_legumes_and_seeds,915,0.733333333,3
VB10-21,dairy,732,0.631147541,2
PA011_73417,dairy,2211,0.716870194,6
VB10-27,dairy,747,0.72021419,2
GR211_71775,dairy,2611,0.869015703,7
N-21,dairy,360,0.683333333,1
AF53,fermented_tubers_and_roots,1681,0.854848305,7
AF88,fermented_grains_legumes_and_seeds,1719,0.828388598,5
VB02-23,dairy,708,0.725988701,2
AF69,fermented_tubers_and_roots,904,0.773230088,4
AF70,fermented_tubers_and_roots,1927,0.763881681,6
PA004_73417,dairy,2455,0.72790224,7
PR202_71775,dairy,893,0.647256439,2
VB11-21,dairy,712,0.650280899,2
PR011_71775,dairy,362,0.693370166,1
AF94,fermented_grains_legumes_and_seeds,935,0.677005348,3
VB05-28,dairy,1421,0.828289937,3
DF_73,dairy,1164,0.750859107,3
VB10-28,dairy,594,0.727272727,2
MO011_71775,dairy,1244,0.807073955,3
MZ011_71775,dairy,811,0.754623921,4
AF65,dairy,1141,0.963190184,4
F-27.0,dairy,157,0.649681529,1
SRS3591582,dairy,2700,0.778148148,10
VB08-23,dairy,674,0.741839763,2
VB15-28,dairy,1209,0.688999173,3
SRS6525474,dairy,571,0.616462347,2
VB11-27,dairy,670,0.728358209,2
VB06-24,dairy,177,0.644067797,1
VB15-26,dairy,782,0.782608696,3
AF51,fermented_tubers_and_roots,1577,0.92961319,6
I-21,dairy,243,0.650205761,1
AF22,dairy,1018,0.73870334,3
ERS654090,dairy,1339,0.792382375,3
DF_52,dairy,2199,0.934060937,4
VB11-25,dairy,1329,0.699021821,3
B-28.0,dairy,190,0.631578947,1
AF04,fermented_tubers_and_roots,1082,0.720887246,5
AF18,fermented_grains_legumes_and_seeds,964,0.784232365,4
VB07-26,dairy,667,0.668665667,2
VB11-28,dairy,609,0.712643678,2
VB15-25,dairy,2097,0.714353839,5
I-23,dairy,1131,0.603006189,2
VB11-24,dairy,551,0.733212341,2
VB10-24,dairy,801,0.756554307,2
P-27.0,dairy,668,0.732035928,2
VB07-23,dairy,218,0.642201835,1
I-24.1,dairy,744,0.737903226,2
VB15-23,dairy,581,0.721170396,2
I-23.1,dairy,548,0.629562044,2
ERS2955443,dairy,522,0.588122605,2
WK018T-1-L-02h-05D9_S88,fermented_beverages,927,0.77562028,2
WK021-1-L-48h-02F1_S106,fermented_beverages,1872,0.83707265,3
WK043-2-L-08h-03G6_S79,fermented_beverages,1762,0.93984109,4
WK051-1-L-08h-04D4_S2,fermented_beverages,2382,0.982367758,5
WK001-2-L-48h-01F4_S28,fermented_beverages,3423,1.05638329,7
WK021-2-L-48h-02F3_S108,fermented_beverages,2259,0.942895086,4
WK033-2-L-48h-03C3_S40,fermented_beverages,4736,0.991765203,9
WK055-2-L-48h-04F5_S21,fermented_beverages,2010,0.93681592,4
WK017-2-L-08h-02D4_S91,fermented_beverages,2918,0.909184373,6
